protein_id	DMSO_R1	DMSO_R2	DMSO_R3	DMSO_R4	Erl_R1	Erl_R2	Erl_R3	Erl_R4	Lap_R1	Lap_R2	Lap_r3	Lap_R4	Sor_R1	Sor_R2	Sor_R3	Sor_R4	Sun_R1	Sun_R2	Sun_R3	Sun_R4
sp|P47224|MSS4_HUMAN	9.51144	10.1747	9.18915	9.56243	10.2004	11.059	10.6113	9.75425	10.4128	10.7688	10.159	10.287	10.7296	8.59367	10.0888	10.7038	9.34627	9.20328	8.94742	10.6968
sp|P47755|CAZA2_HUMAN	9.84998	9.35966	10.6477	9.91996	10.4278	9.72932	10.4852	9.91457	10.2495	10.2076	9.66731	9.44899	10.4197	9.68933	10.0797	10.0584	10.1488	9.91826	9.60616	10.172
sp|P47756|CAPZB_HUMAN	9.67543	10.1108	10.151	9.48517	10.0883	9.65877	10.6283	9.69724	9.69334	10.0186	9.4712	9.48358	9.50412	10.5275	10.0685	10.4741	10.3322	10.3909	9.95827	10.5827
sp|P47756-2|CAPZB_HUMAN	11.141	8.8153	11.0864	9.16529	9.4238	10.475	9.4214	10.7119	11.289	9.54082	9.9861	8.92326	10.2354	9.07342	8.75067	10.7273	9.6356	10.3707	10.4403	10.7874
sp|P47813|IF1AX_HUMAN	9.5949	9.80011	10.2255	10.3051	9.62782	10.7901	9.0344	9.73821	9.76872	10.4514	9.08806	10.6942	9.86541	9.77081	9.453	10.148	9.65146	10.6793	10.231	11.0825
sp|P47897|SYQ_HUMAN	10.3225	10.2252	10.0484	9.75965	10.1437	9.18832	10.3011	9.55819	10.052	9.66691	10.3245	9.79311	10.4485	10.259	10.6202	9.80433	9.6541	10.0399	9.89592	9.89471
sp|P47914|RL29_HUMAN	11.2049	9.49454	12.0261	11.1563	11.8636	8.11236	10.7339	7.68272	10.4729	8.21857	7.37921	10.6218	11.8863	8.18006	9.2356	9.55742	11.1025	9.46425	12.0972	9.50976
sp|P47974|TISD_HUMAN	10.9296	10.5608	11.8011	10.5279	10.4286	9.31	8.80794	10.1081	11.2561	9.54572	11.755	9.27376	10.5705	9.45466	8.97176	9.19011	9.34478	8.59926	10.9186	8.6458
sp|P47985|UCRI_HUMAN	9.38211	10.1516	9.14187	10.4902	9.33106	10.2901	9.86375	9.42504	9.69088	10.3666	10.0269	9.6956	9.21056	11.0709	9.67607	11.4055	9.61698	10.8892	9.97677	10.2983
sp|P48029|SC6A8_HUMAN	12.3467	8.48965	9.14478	7.48871	9.90242	7.82804	11.638	7.83588	10.1207	7.60791	11.3184	5.7263	10.3796	12.4894	11.6396	12.0086	9.27518	11.5604	10.5816	12.6182
sp|P48047|ATPO_HUMAN	9.85539	9.89921	10.2086	10.8617	9.47335	10.5786	9.09475	9.56287	9.81922	9.92731	9.67694	9.69903	10.0272	10.8832	9.76694	10.6744	8.67908	10.8575	8.67815	11.7766
sp|P48059-3|LIMS1_HUMAN	10.9997	10.4746	9.9057	10.0395	10.7789	9.07655	11.7161	9.57836	10.0508	8.50145	10.347	9.52629	11.4636	8.1518	10.9688	8.89949	11.3289	9.17375	9.72604	9.29272
sp|P48147|PPCE_HUMAN	10.4864	9.47246	10.2076	9.56573	9.30758	10.472	9.48521	10.1536	9.5004	10.5917	10.1344	10.3112	9.64109	10.8718	9.81269	10.1166	9.17948	10.4771	10.2625	9.95045
sp|P48163|MAOX_HUMAN	9.27136	9.66649	9.88014	9.39855	10.6061	10.3121	10.2364	10.2236	9.15523	10.8086	9.23914	10.4571	9.00963	11.1523	9.95276	10.2165	9.95128	10.0669	10.0162	10.3796
sp|P48200|IREB2_HUMAN	11.0298	10.416	12.3869	7.26638	10.3274	7.67274	9.95763	7.05974	9.92371	7.87815	9.86246	6.1243	9.91768	11.6247	8.48143	13.2501	9.86401	11.3457	13.6766	11.9345
