DMSO_1,DMSO2,Erlotinib1,Erl2,Lap1,Lap2,Sor1,Sor2,Sun1,Sun2
11.4329,12.1446,11.116,8.87498,9.71655,8.21924,9.15963,10.3863,10.1386,8.81117
9.78424,10.0637,9.70583,9.89942,9.8728,9.96406,9.59758,9.93908,10.4602,10.7131
9.80678,10.0404,9.8298,10.7292,8.94261,9.10531,10.8708,11.0087,9.90049,9.76595
10.2249,10.1927,10.3307,9.77874,10.2931,9.75563,10.0575,10.085,9.77162,9.51011
10.1768,9.94555,10.7666,10.7614,10.0607,10.0247,8.18585,8.76389,10.6844,10.6302
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.7032,10.359,10.2419,9.5352,9.73296,9.82362,9.85221,10.1354,10.3186,10.2979
10.014,10.5762,9.70776,10.0436,10.3528,9.01295,9.3709,9.33246,10.6557,10.9336
10.5625,10.7144,10.277,9.48257,11.0837,9.74687,10.4071,8.94398,9.95514,8.82671
10.9492,10.3626,9.87322,9.29882,10.054,10.8471,9.2107,9.34021,9.4107,10.6534
9.795,10.1933,9.6576,9.90431,9.96308,9.51185,10.6029,10.5721,10.0449,9.75498
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.74574,9.81025,8.78076,9.59966,8.74919,9.97372,12.8155,10.9216,9.90488,9.69872
10.0689,10.7569,10.0046,9.54165,10.1043,10.178,8.64427,9.48034,10.6242,10.5969
10.0486,10.7255,11.9136,10.4167,10.1835,10.3492,8.00418,8.20294,9.00969,11.146
9.20032,9.44941,9.67324,9.42341,10.3743,10.2679,10.067,10.7058,10.4174,10.4212
9.70178,9.76053,10.2437,9.70737,10.3495,9.80149,9.20581,9.84847,10.6786,10.7028
10.0107,10.1781,10.0334,10.3006,10.233,9.51699,10.609,10.4395,9.66746,9.01116
10.1569,10.0002,10.1968,9.85647,9.40096,9.654,10.3705,10.0468,10.1972,10.1202
10.0453,10.2832,9.95144,9.83448,9.56956,9.68657,10.1616,10.2479,9.8196,10.4004
10.3756,10.7434,9.48922,9.58565,9.47925,9.07434,10.5902,10.8792,10.0801,9.70307
9.39146,9.76065,9.89177,9.74956,10.1257,9.9859,10.8304,11.3323,9.24057,9.69165
8.85192,9.3558,9.8622,9.3899,10.4178,10.6371,8.08374,8.81907,12.9015,11.681
10.7444,11.1461,11.5541,9.68925,8.99428,11.545,7.19617,6.59354,10.8069,11.7303
9.86784,9.9641,10.5044,10.7654,10.2271,10.4657,8.32556,8.1136,10.5554,11.211
9.65561,9.68003,9.9789,10.1838,10.2091,10.0758,8.70168,8.93843,11.1939,11.3828
9.27227,10.0086,9.74076,9.64556,10.1388,10.2622,9.86213,9.90344,10.807,10.3592
9.57208,9.83785,10.1744,9.98324,10.0613,9.86578,9.20876,9.72344,10.8356,10.7376
9.65664,10.1502,10.3142,10.0833,10.0284,10.2485,9.18652,9.53013,10.3575,10.4446
9.52525,9.80921,9.95217,9.62871,9.98044,9.74352,9.30293,9.75726,11.2483,11.0522
9.86461,10.2697,9.36594,9.31991,9.70497,9.57608,10.0056,10.6787,10.766,10.4486
10.8635,11.2236,9.77343,8.68874,11.066,10.3356,6.06366,8.37083,11.4168,12.1979
9.40897,11.5314,8.85454,5.63015,13.0126,8.18718,5.56975,12.7512,13.4297,11.6245
10.4936,10.5631,10.4819,10.5608,10.2476,9.91248,9.98578,9.92607,8.60126,9.2274
10.747,11.1849,9.96957,10.1291,9.79001,9.03615,10.6765,10.0523,9.42271,8.99179
9.91271,12.953,8.76042,10.9679,9.12412,9.09773,9.23958,10.6657,9.82645,9.45242
10.6656,10.1546,9.40059,9.97769,8.91195,9.71726,11.2966,10.2771,9.86425,9.73436
9.75699,10.0925,10.1229,9.19913,10.0361,9.47431,10.0849,10.5076,10.4849,10.2406
10.1186,10.0411,9.48417,9.53652,9.25076,10.7748,10.7473,10.2873,10.0813,9.6782
9.08051,9.10299,10.5773,9.60343,10.5286,10.5844,10.0889,10.4082,9.59369,10.432
10.1592,9.62119,11.7959,12.2174,9.61461,10.1614,9.9068,9.56848,7.38208,9.57287
9.64806,10.1126,9.69714,9.72203,10.1468,10.0945,9.74206,10.328,10.2445,10.2644
9.21819,9.03541,9.68605,9.9812,9.73952,10.0669,10.9854,11.2904,10.1628,9.8341
10.225,10.3435,10.5877,10.0615,9.81196,9.81908,9.86072,10.1977,9.6307,9.4622
9.08846,9.57059,9.95072,9.62861,10.0591,10.2076,10.3088,11.0982,10.0758,10.0121
9.78369,9.64015,9.36804,9.48053,10.3684,9.91082,9.86759,10.1004,10.481,10.9995
10.6216,10.1142,9.07227,9.4138,10.0386,9.27232,11.3134,10.7047,9.97977,9.46935
9.46456,9.8928,9.93973,10.1772,9.12889,9.81719,8.88666,8.67107,12.0249,11.997
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.5448,10.3128,9.70221,9.22561,10.0443,9.6218,10.6413,9.9054,9.95474,10.0471
10.064,10.1233,10.3646,10.0153,10.5953,9.82867,9.92347,9.54866,10.0235,9.5132
11.0296,10.8018,10.0901,9.10615,10.1116,9.12005,9.7291,9.51497,10.6049,9.89167
10.5828,11.0092,10.0467,10.1535,9.84533,9.23704,9.74819,9.7293,9.75838,9.88951
10.177,10.6959,10.0217,9.6462,10.0687,9.51739,9.41975,10.2327,10.1523,10.0684
11.1972,10.1487,10.3956,9.22796,8.4304,9.85222,11.6685,10.2125,9.58122,9.28561
10.1132,9.9251,9.45723,9.32127,8.65246,9.66605,11.3591,11.3704,9.89959,10.2355
9.55402,10.6257,7.87407,8.83341,9.17285,10.0102,10.453,10.5723,11.7969,11.1076
9.53834,9.91606,10.817,9.16844,10.3664,10.3097,8.87473,9.21891,10.837,10.9534
9.65751,9.75134,9.97275,9.91807,10.7106,10.2178,9.7958,9.66721,10.3298,9.97916
8.76526,9.53229,10.248,10.3955,10.7623,10.1974,9.72688,9.99856,10.1022,10.2716
10.0303,10.2945,10.19,9.75096,10.7624,9.89747,9.24075,10.0805,10.2797,9.47357
10.6769,10.7401,10.1135,10.2247,10.0835,9.40221,10.2151,9.86313,9.75493,8.9261
11.4558,11.0722,10.5074,9.06205,10.2619,9.68963,10.2451,9.35646,9.85349,8.49608
10.6118,10.6939,10.7343,10.5523,9.51726,9.46985,9.15311,8.85313,10.1946,10.2197
9.37896,10.0103,9.50744,9.40589,9.37997,9.59397,10.3653,10.7663,11.0832,10.5087
