'Erl','Lap','Sor','Sun','GSE12260.txt','GSE42177.txt','GSE81448.txt','GSE76314','GSE40289'
-0.010228,0.036993,0.18143,0.3714,-0.0259,0.28519,0.092,-0.51805,-0.88658
-0.04955,0.091207,0.43507,-0.025855,0.0254,-0.27778,0.092,-0.030385,-0.099568
-0.041494,0.38438,-0.56477,0.47896,-0.0791,0.21921,-0.02,-0.10983,-0.14322
0.3082,-0.07604,0.91824,0.36473,0.306,-0.49604,-0.03,-0.0091847,0.18745
-0.13696,0.17945,0.71881,-0.21147,-0.36,0.11925,0.086,-0.053755,0.2101
0.34406,0.48047,-0.33562,-0.47675,-0.261,0.23595,-0.31,0.24018,-1.1306
-0.10022,-0.28251,-0.17483,0.1006,-0.0301,0.56124,0.1,0.49773,-0.4546
-0.10097,0.15443,-0.50872,-0.56812,-0.0725,0.076264,-0.026,0.26393,-0.10401
-0.13591,-0.23927,0.62682,0.066998,-0.175,-0.50132,-0.076,-0.37998,-1.3226
-0.24312,-0.039665,-0.24672,0.23893,0.0697,-0.54594,0.104,-0.055106,-0.68174
-0.019986,0.062189,-0.04999,0.3115,-0.152,0.018906,0.062,0.07491,0.51605
-0.61071,-0.11467,1.128,-0.38372,0.137,-0.5572,-0.256,0.14971,0.82683
-0.069056,-0.12532,0.23278,-0.57278,0.298,-1.2248,-0.034,-0.3133,0.16811
0.044898,0.17048,0.15749,-0.013508,0.0606,0.10768,-0.018,0.43313,-0.21075
0.014767,0.089275,0.19955,0.019091,0.0542,-0.58277,-0.596,-1.971,-3.3417
0.029987,-0.024357,0.39154,0.27351,-0.119,-0.46731,-0.108,-1.4812,-1.4382
0.090904,-0.30938,-1.6537,-0.011941,-0.0768,0.42496,-0.132,-0.11853,-0.47407
-0.09639,-0.26821,-1.5826,-0.37647,0.0832,-0.77551,-0.122,-0.22599,-0.61195
0.10754,0.13902,0.09576,0.37696,-0.236,0.26705,0.054,0.12798,0.48848
-0.28712,-0.59423,-1.363,-0.53545,-0.128,0.12164,0.1,0.037011,0.28417
0.095672,0.11646,-0.43817,0.26819,-0.174,0.049696,-0.084,0.094947,-0.832
0.068058,0.21143,-0.011769,-0.18258,-0.116,0.077805,0.05,-0.17306,-0.035079
0.043078,-0.080253,-0.34539,-0.31282,-0.296,-0.029486,-0.074,-0.060928,-0.56146
-0.63595,-1.5526,0.53572,-0.090717,0.379,-0.044028,-0.046,-0.11785,0.5214
-0.078314,-0.22745,-0.61503,-0.34207,-0.0954,0.25442,0.086,0.19784,-0.069906
0.15743,0.084665,-0.080746,0.35617,-0.141,-0.024347,-0.128,-1.0606,-0.23148
-0.19076,-0.087903,-0.4075,0.12933,0.211,0.36855,0.052,0.060194,-0.27978
-0.11523,-0.15296,-0.90712,-0.60074,-0.0293,0.071916,0.074,-0.49398,0.29112
-0.062369,-0.17877,0.96293,-0.10191,-0.0247,-0.072568,-0.104,-0.43885,-1.6343
0.20705,0.080688,0.00088566,0.069233,-0.0186,0.20716,-0.098,0.11237,-0.67184
0.061166,0.014497,-0.1134,-0.023589,-0.101,-0.024207,-0.222,-0.9331,-0.39963
0.052741,0.1324,-0.28657,-0.3332,-0.0995,-0.020247,-0.052,-0.25359,0.14366
-0.10235,-0.053887,0.071949,0.3763,-0.279,0.011605,0.036,0.26079,-0.14602
-0.054734,-0.048366,0.34683,0.20301,-0.0633,0.39989,0.22,-0.18975,0.11518
-0.66468,-0.54866,-0.44936,-1.3158,-0.11,0.24687,-0.022,-0.021214,0.4429
-0.22836,-0.58062,-0.63508,-0.083896,-0.0275,0.092579,0.108,0.017503,-0.023075
0.11383,0.0099742,0.17634,-0.53544,0.017,0.61089,0.136,-0.67487,1.5364
-0.11331,-0.076841,0.84606,-0.17562,-0.101,-0.36288,0.24,-0.59903,0.43709
0.097882,0.20929,-0.13687,0.33313,-0.0888,-0.18569,0.016,-0.13796,-0.20985
0.64023,0.38232,0.79154,1.9596,0.136,-0.2012,-0.082,0.16316,-0.31747
-0.013131,-0.17261,-0.25763,-0.044231,-0.312,-0.18685,0.088,0.14383,0.50743
0.092017,0.14322,0.53252,0.16651,-0.101,-0.080791,0.102,0.0044118,0.071981
0.04392,0.1138,-0.22324,0.30297,0.0521,-0.25858,-0.076,0.065507,-0.16394
0.11737,0.30143,-0.15904,0.028274,0.129,-0.18472,-0.072,-0.84669,0.66294
-0.05162,0.34951,0.67668,0.259,-0.0702,-0.3066,0.184,-0.37466,-0.161
0.14889,-0.049708,0.79485,0.35567,0.139,-0.38313,-0.054,-0.71386,-0.12327
-0.014227,0.051577,-0.31517,0.31821,0.04,-0.021805,0.13,-0.618,0.67595
-0.11296,-0.23076,-0.52004,0.11495,-0.173,0.31421,0.068,-4.1896,0.44322
-0.029682,0.085018,-0.62367,-0.010875,-0.191,-1.1488,0.072,-0.32033,0.04878
-0.039034,0.039126,0.83736,0.27934,-0.59,-0.026093,0.11,0.30411,0.806
0.016389,0.10407,0.24692,0.062444,0.232,-0.4901,-0.118,0.053611,-0.57685
