,Gene.symbol,MeanFC,Cleaned Gene Symbols
906,ARFRP1,0.0376009933,ARFRP1
908,ARG2,0.1618461382,ARG2
911,ARGLU1,0.1364017037,ARGLU1
912,ARHGAP1,-0.1690546178,ARHGAP1
914,ARHGAP12,0.0759240719,ARHGAP12
916,ARHGAP17,0.1341824865,ARHGAP17
922,ARHGAP24,-0.4877429306,ARHGAP24
923,ARHGAP25,-2.3146219154,ARHGAP25
924,ARHGAP26,0.1202783019,ARHGAP26
926,ARHGAP27,0.1434127641,ARHGAP27
935,ARHGAP4,-0.2220355466,ARHGAP4
938,ARHGAP5,-0.2288055159,ARHGAP5
943,ARHGDIB,-0.5925607561,ARHGDIB
944,ARHGEF1,-0.5482100571,ARHGEF1
947,ARHGEF11,0.0813615573,ARHGEF11
948,ARHGEF12,-0.0980797633,ARHGEF12
952,ARHGEF18,0.1271018434,ARHGEF18
954,ARHGEF2,-0.6179940348,ARHGEF2
955,ARHGEF25,-0.9218082929,ARHGEF25
958,ARHGEF28,-0.445696148,ARHGEF28
959,ARHGEF3,0.3710728965,ARHGEF3
963,ARHGEF37,-0.1781550291,ARHGEF37
971,ARHGEF7,-0.0270159522,ARHGEF7
972,ARHGEF9,-0.4033440116,ARHGEF9
973,ARID1A,0.0384559078,ARID1A
976,ARID3A,-0.3948571159,ARID3A
979,ARID4A,0.086327335,ARID4A
980,ARID4B,0.2202607063,ARID4B
981,ARID5A,0.5938248063,ARID5A
982,ARID5B,-0.2136719843,ARID5B
983,ARIH1,0.0091803915,ARIH1
986,ARL1,-0.0366280833,ARL1
987,ARL10,-1.1395202133,ARL10
988,ARL11,#VALUE!,ARL11
990,ARL13B,-0.3150793083,ARL13B
997,ARL2BP,-0.1958011683,ARL2BP
999,ARL4A,-0.0635625956,ARL4A
1001,ARL4D,0.0414147776,ARL4D
1002,ARL5A,-0.3642258031,ARL5A
1005,ARL6,-1.1517979987,ARL6
1008,ARL6IP5,-0.049120041,ARL6IP5
1009,ARL6IP6,0.0943030908,ARL6IP6
1010,ARL8A,0.2324791127,ARL8A
1013,ARMC1,-0.12274927,ARMC1
1014,ARMC10,0.2635809565,ARMC10
1019,ARMC5,0.5798322504,ARMC5
1021,ARMC8,-0.318492063,ARMC8
1022,ARMC9,-0.4347875807,ARMC9
1023,ARMCX1,-0.6502960462,ARMCX1
1024,ARMCX2,-0.5075330695,ARMCX2
1025,ARMCX3,0.0750441139,ARMCX3
1027,ARMCX6,-0.1896840941,ARMCX6
1029,ARNT,-0.8895911861,ARNT
1030,ARNT2,0.1952245448,ARNT2
1031,ARNTL,0.7906475071,ARNTL
1032,ARPC1A,-0.2331322716,ARPC1A
1033,ARPC1B,0.0923470849,ARPC1B
1034,ARPC2,0.0429333477,ARPC2
1035,ARPC3,0.049707628,ARPC3
1036,ARPC5,-0.2523427335,ARPC5
1037,ARPC5L,0.3274741519,ARPC5L
1038,ARPP19,-0.0766803696,ARPP19
1041,ARRB1,-0.5853938307,ARRB1
1042,ARRB2,-0.3547667969,ARRB2
1043,ARRDC1,0.3057740567,ARRDC1
1047,ARRDC4,0.3545557432,ARRDC4
1049,ARSA,0.4208953693,ARSA
1050,ARSB,0.373592272,ARSB
1054,ARSG,0.2871259201,ARSG
1058,ARSK,-0.4797921137,ARSK
1061,ART5,-0.5068199346,ART5
1063,ARV1,0.1211803425,ARV1
1066,ASAH1,-0.0702565767,ASAH1
1073,ASB1,0.2138474351,ASB1
1075,ASB11,#VALUE!,ASB11
1087,ASB6,0.1731685656,ASB6
1089,ASB8,-0.2651053505,ASB8
1092,ASCC1,0.1932191582,ASCC1
1093,ASCC2,-0.1722643737,ASCC2
1101,ASF1B,0.6955996628,ASF1B
1102,ASGR1,-2.4181613717,ASGR1
1105,ASH2L,0.1445826903,ASH2L
1113,ASNA1,0.1031924278,ASNA1
1114,ASNS,-0.4350965503,ASNS
1115,ASNSD1,0.1409899042,ASNSD1
1118,ASPG,-1.2233437436,ASPG
1122,ASPM,-2.5383088275,ASPM
1125,ASRGL1,0.4308689583,ASRGL1
1126,ASS1,0.3098253357,ASS1
1137,ATAD2,-0.3475894685,ATAD2
1139,ATAD3A,-0.5624538409,ATAD3A
1142,ATAT1,#VALUE!,ATAT1
1144,ATE1,-0.2821513392,ATE1
1145,ATF1,0.2491407845,ATF1
1146,ATF2,-0.0948483899,ATF2
1147,ATF3,0.7669022064,ATF3
1148,ATF4,-0.4124282852,ATF4
1149,ATF6B,-0.0386850459,ATF6B
1154,ATG12,0.2709384232,ATG12
1155,ATG13,0.1822893675,ATG13
1157,ATG16L1,0.1056276657,ATG16L1
1161,ATG3,-0.0078104435,ATG3
1163,ATG4B,0.0169209725,ATG4B
1166,ATG5,-0.0972173575,ATG5
1167,ATG7,-0.1621869163,ATG7
1168,ATG9A,-0.0624472371,ATG9A
1172,ATL1,0.0183447368,ATL1
1179,ATOH8,0.3133496539,ATOH8
1180,ATOX1,0.304763053,ATOX1
1188,ATP13A1,0.2538787282,ATP13A1
1189,ATP13A2,0.0168245841,ATP13A2
1193,ATP1A1,0.097871651,ATP1A1
1195,ATP1A2,-2.3146745122,ATP1A2
1198,ATP1B1,-0.1459648435,ATP1B1
1199,ATP1B2,-0.4799097946,ATP1B2
1200,ATP1B3,0.1713462041,ATP1B3
1201,ATP1B4,#VALUE!,ATP1B4
1203,ATP2A2,-0.1929928501,ATP2A2
1204,ATP2A3,-1.8904276789,ATP2A3
1205,ATP2B1,0.407199999,ATP2B1
1206,ATP2B2,-2.7665239742,ATP2B2
1208,ATP2B4,-0.5575105289,ATP2B4
1209,ATP2C1,-0.0488222765,ATP2C1
1213,ATP5A1,-0.2031967293,ATP5A1
1214,ATP5B,-0.1279314243,ATP5B
1215,ATP5C1,-0.4094681144,ATP5C1
1216,ATP5D,-0.4337137021,ATP5D
1221,ATP5G3,-0.4139858138,ATP5G3
1222,ATP5H,-0.0823354868,ATP5H
1224,ATP5J,-0.0617736043,ATP5J
1226,ATP5O,-0.3316275471,ATP5O
1227,ATP5S,-0.5442158369,ATP5S
1229,ATP6AP1,0.0379420555,ATP6AP1
1231,ATP6AP2,0.2742845198,ATP6AP2
1236,ATP6V0D1,0.187117969,ATP6V0D1
1239,ATP6V0E2,0.0415410404,ATP6V0E2
1241,ATP6V1A,0.2850224963,ATP6V1A
1243,ATP6V1B2,0.0315756148,ATP6V1B2
1244,ATP6V1C1,0.1493954723,ATP6V1C1
1246,ATP6V1D,0.1391357994,ATP6V1D
1247,ATP6V1E1,0.2511876179,ATP6V1E1
1249,ATP6V1G1,0.1781611119,ATP6V1G1
1251,ATP6V1H,0.2054079005,ATP6V1H
1252,ATP7A,-0.5910503649,ATP7A
1253,ATP7B,-0.5939146211,ATP7B
1256,ATP8B1,0.0062107374,ATP8B1
1262,ATP9B,-0.1066312011,ATP9B
1263,ATPAF2,0.3761662855,ATPAF2
1269,ATRN,0.007030844,ATRN
1272,ATXN1,-0.4849314598,ATXN1
1273,ATXN10,-0.0081693283,ATXN10
1276,ATXN2L,-0.1245520401,ATXN2L
1277,ATXN3,-0.5332890855,ATXN3
1285,AUH,-0.1884162794,AUH
1288,AURKA,-0.1800616064,AURKA
1290,AURKB,-1.9550575659,AURKB
1296,AVPI1,0.515663744,AVPI1
1303,AXIN1,0.1625858809,AXIN1
1304,AXIN2,0.2929136449,AXIN2
1305,AXL,-0.0388193061,AXL
1309,AZI2,-0.0829780881,AZI2
1310,AZIN1,-0.1827994692,AZIN1
1312,B2M,0.2204037309,B2M
1313,B3GALNT1,-0.7951832392,B3GALNT1
1318,B3GALT5,-3.927248491,B3GALT5
1319,B3GALT6,-0.2884732673,B3GALT6
1325,B3GNT2,-0.2031888921,B3GNT2
1328,B3GNT5,0.5922639145,B3GNT5
1330,B3GNT7,0.4651220904,B3GNT7
1333,B3GNTL1,-1.2195331238,B3GNTL1
1334,B4GALNT1,0.2891733649,B4GALNT1
1337,B4GALNT4,-1.1191840528,B4GALNT4
1338,B4GALT1,0.2932235358,B4GALT1
1339,B4GALT2,-0.0121105666,B4GALT2
1340,B4GALT3,0.1564423998,B4GALT3
1341,B4GALT4,0.0965010864,B4GALT4
1343,B4GALT6,0.7914576803,B4GALT6
1344,B4GALT7,0.2073452473,B4GALT7
1346,B9D2,-0.0890940202,B9D2
1350,BACE1,0.6053628258,BACE1
1352,BACH1,0.1570094153,BACH1
1354,BAD,-0.2882542805,BAD
1355,BAG1,0.1480115446,BAG1
1356,BAG2,-0.1793345339,BAG2
1357,BAG3,0.1764753203,BAG3
1359,BAG5,0.1413072654,BAG5
1360,BAG6,-0.2053932917,BAG6
1366,BAIAP2,0.4753435713,BAIAP2
1371,BAK1,-0.2396538954,BAK1
1372,BAMBI,-0.1665767536,BAMBI
1374,BANF1,-0.0614206167,BANF1
1377,BANP,-0.0325408862,BANP
1378,BAP1,-0.119801687,BAP1
1379,BARD1,-1.3285967576,BARD1
1384,BASP1,0.0932537771,BASP1
1391,BAZ2A,0.0602757796,BAZ2A
1392,BAZ2B,0.3098622983,BAZ2B
1399,BBS2,-0.3085715991,BBS2
1400,BBS4,0.3927264777,BBS4
1401,BBS5,-0.7013324269,BBS5
1404,BCAM,-0.0725558867,BCAM
1406,BCAP31,0.1690412299,BCAP31
1407,BCAR1,0.1194965966,BCAR1
1408,BCAR3,-0.2095894889,BCAR3
1411,BCAS2,-0.0109655331,BCAS2
1412,BCAS3,-0.3097343132,BCAS3
1414,BCAT1,-0.6883641532,BCAT1
