Erl1.24vDMSO.24_logFC,Erl3.6vDMSO.6_logFC,Erl3.24vDMSO.24_logFC,Erl3.72vDMSO.72_logFC,Erl3.168vDMSO.168_logFC,Erl10.24vDMSO.24_logFC
-0.1658735887,-0.03460636,-0.4957504866,0.9843137643,0.2549213356,-0.3517119933
0.4456840973,0.1297468648,0.4380882019,0.1173766712,0.2904744978,0.2612556934
0.0130800119,-0.1386172024,-0.1342266555,0.1269011035,0.1902889723,0.0178338952
-0.3358673225,-0.1149523377,-0.2308357783,0.6153648182,-0.2587126177,-0.1309462949
-0.5498246349,-0.0833658016,-0.1421065617,0.2162762214,-0.1587988752,-0.1579806898
0.1265652138,0.1168258782,0.2439064468,0.0249392823,-0.0674684902,0.1900117092
0.9574951213,-0.5280639281,0.0382481174,0.2554562748,-0.4632040788,0.4310028128
0.9061551928,-0.2617721136,0.3767645868,0.402924929,-0.0347399223,0.3950086256
-0.1183350242,-0.1802092086,-0.0524514062,0.1315756082,0.0262468088,0.0199742748
0.0335478493,0.0477491896,-0.2224448814,0.1199481576,-0.0753924397,-0.1759702351
0.1495779613,0.0897186892,-0.2733688962,-0.0718422972,-0.1757941897,0.0772382011
-0.1353606269,-0.1298066848,-0.3840024941,-0.0505718588,0.2715322541,-0.0951564379
-0.2180901558,-0.1338338925,-0.3948542324,0.2596412858,-0.0013935117,-0.2061001851
-0.0608884883,0.1218302432,-0.506700195,0.4980309233,-0.3498425749,-0.1188674311
0.4879549853,0.2580583572,0.1358849495,0.0764508203,0.0736835219,0.0496286091
0.2356055865,-0.1078161872,0.0864896155,0.3554895187,0.2167520891,-0.0358108635
0.2577484829,-0.1074398158,0.3324727592,-0.2452475754,0.0774485826,0.3318069418
-0.0913302838,-0.5326873221,-0.3368839392,0.2716574451,-0.2322959883,-0.5562075711
0.3494913264,-0.2078924419,0.2399929365,0.3563118282,0.3165163349,0.2777733216
0.3030339668,0.2815547463,0.1367727553,-0.2054448544,-0.0070787739,0.2276715069
-0.2944724499,0.1594724046,-0.2207933368,0.4453628322,0.7232914179,-0.6780604079
0.0395225975,-0.671693305,-0.551127056,0.0310139108,0.3579994162,0.3964081739
0.2090176443,0.1595629214,0.3252878864,0.0720323715,0.1767590492,0.3061677659
0.4454087809,-0.0475931368,0.4139826711,-0.0391517959,-0.5339570621,0.2480938808
0.3806792343,0.1768438293,0.8310681516,-1.5009405319,0.5615409479,0.3243888095
-0.2901691914,-0.4270486706,-0.4981422166,0.2992072243,-0.2958200875,-0.3776358628
-0.5200382098,-0.0638231098,-0.3852753338,0.1282881313,0.4155049548,-0.7778697573
-0.7884290019,-0.8456778226,-1.0146463418,1.2912154519,-0.7575808465,-1.1307805459
-0.1921181925,0.1698663874,-0.089133368,0.3083499505,0.0419573129,0.1489762204
0.1042431503,0.1778358668,0.0336077962,0.2872928331,-0.143583873,0.3956969096
0.0993214553,0.4200646533,0.3240115818,0.1365016752,0.1324807108,0.2136223367
0.0448139911,-0.2301065072,-0.0052654423,0.6047746224,-0.0969596421,0.1930477267
-0.2905800914,-0.4189961553,-0.4103171565,0.3101842768,-0.2302750884,-0.6855932821
-0.0578081092,-0.4063259384,-0.3548636952,1.3020695438,-0.4336133846,-0.3707784826
-0.05640275,0.0330009928,-0.0258286482,0.3337519755,-0.153143824,-0.0143510794
-0.7752284611,0.4315690022,-0.5897913575,0.8801528566,-0.0252357429,-0.8723608821
0.1985592893,0.5474666058,0.1341553127,0.0876442686,0.0525706288,-0.0514077262
-0.0043426853,0.04508975,0.3593799505,-0.1315611037,0.1857531802,0.278138235
-0.2451061844,-0.9994615913,-0.1142979884,0.8291456832,-1.5766635426,-0.6727242243
0.0001842431,-0.0402125398,-0.1880231101,0.1575593714,0.0589990346,-0.0905360711
0.0405069448,-0.225430038,-0.0158289213,0.0471403406,0.0312368595,-0.0235637204
-0.1155327353,0.0578843137,0.1615686395,0.3182893652,0.2635549915,0.4660019196
0.0569333117,0.2234663702,-0.0281811485,-0.2152707691,0.1915094388,-0.1397286541
